mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,method,runner,elapsed_average
10000,10,5,5,8,block,java,1.8458680391311646
10000,10,5,5,8,block,cpp_static,0.0521625280380249
10000,10,5,5,8,block,cpp_dynamic,0.047171711921691895
10000,10,5,5,8,row,java,1.8176899194717406
10000,10,5,5,8,row,cpp_static,0.05268950462341308
10000,10,5,5,8,row,cpp_dynamic,0.047583508491516116
10000,10,5,5,8,col,java,1.8259348154067994
10000,10,5,5,8,col,cpp_static,0.06004865169525146
10000,10,5,5,8,col,cpp_dynamic,0.04820683002471924
10000,10,5,5,16,block,java,1.8074836730957031
10000,10,5,5,16,block,cpp_static,0.05313761234283447
10000,10,5,5,16,block,cpp_dynamic,0.04853062629699707
10000,10,5,5,16,row,java,1.82258882522583
10000,10,5,5,16,row,cpp_static,0.05234282016754151
10000,10,5,5,16,row,cpp_dynamic,0.0478684663772583
10000,10,5,5,16,col,java,1.8209985971450806
10000,10,5,5,16,col,cpp_static,0.05206952095031738
10000,10,5,5,16,col,cpp_dynamic,0.04715919494628906
