runner,p_r,p_w,delta_x,delta_t,time
java,4,8,1,0.002,78.9290063381195
java,4,8,1,0.002,83.52521514892578
java,4,2,2,0.001,156.42783498764038
java,4,8,1,0.002,82.51338243484497
java,4,2,2,0.001,156.41810488700867
java,4,2,2,0.001,155.82507061958313
java,4,8,1,0.002,82.51006841659546
java,4,2,2,0.001,155.94637632369995
java,4,2,2,0.001,163.9055700302124
java,4,2,2,0.001,156.00502157211304
java,4,2,2,0.002,156.0589461326599
java,4,2,2,0.001,161.97218489646912
java,4,2,2,0.002,155.9140248298645
java,4,2,2,0.002,155.98769545555115
java,4,2,2,0.002,155.92788410186768
java,4,2,2,0.002,162.01560354232788
java,4,2,2,0.002,155.90692687034607
java,4,2,2,0.002,155.8342592716217
java,4,2,2,0.002,162.12443327903748
java,4,2,2,0.002,161.9087655544281
java,4,2,2,0.002,164.02823114395142
java,4,8,1,0.004,78.93422198295593
java,4,8,1,0.004,78.78581380844116
java,4,8,1,0.004,78.74831962585449
java,4,8,1,0.004,78.89364647865295
java,4,8,1,0.004,78.86884117126465
java,4,8,1,0.004,81.75980138778687
java,2,2,2,0.004,236.028653383255
java,4,8,1,0.004,78.86345601081848
java,2,2,2,0.004,236.0120656490326
java,4,8,1,0.004,81.78427934646606
java,4,8,1,0.004,82.82714700698853
java,2,2,2,0.004,236.04420042037964
java,4,8,1,0.004,81.91162419319153
java,2,2,2,0.004,242.18102931976318
java,2,2,2,0.004,243.96639108657837
java,4,2,2,0.004,155.55823135375977
java,4,2,2,0.004,155.62625932693481
java,2,2,2,0.004,242.04746556282043
java,2,2,2,0.004,244.05739378929138
java,4,2,2,0.004,155.6877760887146
java,4,2,2,0.004,155.6813018321991
java,2,2,2,0.004,244.0705761909485
java,2,2,2,0.004,242.0687403678894
java,4,2,2,0.004,155.7293038368225
java,4,2,2,0.004,155.7654733657837
java,4,2,2,0.004,155.77941250801086
java,4,2,2,0.004,161.79298043251038
java,4,2,2,0.004,163.8099250793457
java,2,2,2,0.004,248.1161708831787
java,4,2,2,0.004,161.70032453536987
java,4,8,2,0.001,155.67515015602112
java,4,8,2,0.001,155.8393795490265
java,4,8,2,0.001,155.89899969100952
