mat_row_no,mat_col_no,conv_row_no,conv_col_no,p,method,runner,elapsed_average
10000,10,5,5,8,block,java,2.683240008354187
10000,10,5,5,8,block,cpp_static,0.07265379428863525
10000,10,5,5,8,block,cpp_dynamic,0.0658790111541748
10000,10,5,5,8,row,java,2.6965967178344727
10000,10,5,5,8,row,cpp_static,0.07399578094482422
10000,10,5,5,8,row,cpp_dynamic,0.06665489673614503
10000,10,5,5,8,col,java,3.1864806413650513
10000,10,5,5,8,col,cpp_static,0.076416277885437
10000,10,5,5,8,col,cpp_dynamic,0.0654498815536499
10000,10,5,5,16,block,java,2.6126620769500732
10000,10,5,5,16,block,cpp_static,0.07937755584716796
10000,10,5,5,16,block,cpp_dynamic,0.07095918655395508
10000,10,5,5,16,row,java,2.6657963752746583
10000,10,5,5,16,row,cpp_static,0.07464776039123536
10000,10,5,5,16,row,cpp_dynamic,0.06440079212188721
10000,10,5,5,16,col,java,2.6981208324432373
10000,10,5,5,16,col,cpp_static,0.0764164686203003
10000,10,5,5,16,col,cpp_dynamic,0.06697649955749511
